,entity,score,index,word,start,end
0,I-UN,0.95685446,3,U,5,6
1,I-UN,0.9560868,4,##G,6,7
2,B-UN,0.9290815,1,B,0,1
3,I-UN,0.7343783,2,##L,1,2
4,I-UN,0.8510342,3,##U,2,3
5,I-UN,0.9073313,4,##EC,3,5
6,I-UN,0.9241328,5,##H,5,6
7,I-UN,0.9564585,6,##IL,6,8
8,I-UN,0.9261811,7,##L,8,9
9,I-UN,0.9820936,8,##ED,9,11
10,I-UN,0.9884056,9,Verwaltungs,12,23
11,I-UN,0.9901861,10,GmbH,24,28
12,B-UN,0.74990565,1,Mittels,0,7
13,I-UN,0.90416753,2,##tä,7,9
14,I-UN,0.9015051,3,##nd,9,11
15,I-UN,0.9448601,4,##ische,11,16
16,I-UN,0.96124023,5,Beteiligungs,17,29
17,I-UN,0.96831805,6,##gesellschaft,29,41
18,I-UN,0.9425787,7,Bremen,42,48
19,I-UN,0.978035,8,mbH,49,52
20,B-UN,0.94216317,1,Albert,0,6
21,I-UN,0.9370644,2,Bar,7,10
22,I-UN,0.94712174,3,##ufe,10,13
23,I-UN,0.98724115,4,GmbH,14,18
24,B-UN,0.8992572,1,IT,0,2
25,I-UN,0.84040284,2,##ER,2,4
26,I-UN,0.9440095,3,##G,4,5
27,I-UN,0.9748926,4,##O,5,6
28,I-UN,0.98518187,5,Informations,7,19
29,I-UN,0.9877415,6,##technologie,19,30
30,I-UN,0.9925821,7,GmbH,31,35
31,I-UN,0.86397135,1,Rhein,0,5
32,I-UN,0.98502016,2,##bahn,5,9
33,I-UN,0.9894806,3,AG,10,12
34,B-UN,0.5161644,2,IF,11,13
35,I-UN,0.85511065,3,##Ö,13,14
36,I-UN,0.7666076,4,Zweite,15,21
37,I-UN,0.7689438,5,Immobilien,22,32
38,I-UN,0.5015697,6,##fonds,32,37
39,I-UN,0.46363753,7,für,38,41
40,B-LD,0.34556085,8,Österreich,42,52
41,I-UN,0.9678349,9,GmbH,53,57
42,B-UN,0.96545506,1,A,0,1
43,B-UN,0.61413795,2,##WS,1,3
44,I-UN,0.9601618,3,Personal,4,12
45,I-UN,0.97434753,4,##marke,12,17
46,I-UN,0.9680426,5,##tin,17,20
47,I-UN,0.9745599,6,##g,20,21
48,I-UN,0.9881022,7,GmbH,22,26
49,B-UN,0.7296803,1,Rem,0,3
50,I-UN,0.4365025,2,##bert,3,7
51,I-UN,0.8154197,3,Rechtsan,8,16
52,I-UN,0.7708825,4,##wälte,16,21
53,B-UN,0.5879126,5,Rem,22,25
54,I-UN,0.5258103,6,##bert,25,29
55,I-UN,0.5395453,7,Müller,30,36
56,I-UN,0.4366604,8,Putz,37,41
57,I-UN,0.48792535,9,##ier,41,44
58,B-UN,0.95738596,1,P,0,1
59,B-UN,0.6313513,2,##O,1,2
60,I-UN,0.9431935,3,##X,2,3
61,I-UN,0.99011725,4,Media,4,9
62,I-UN,0.9920415,5,Verwaltungs,10,21
63,I-UN,0.99309266,6,GmbH,22,26
64,B-UN,0.93958086,1,H,0,1
65,I-UN,0.76523024,2,##B,1,2
66,I-UN,0.9763581,3,-,2,3
67,I-UN,0.9766505,4,D,3,4
68,I-UN,0.9815413,5,##IG,4,6
69,I-UN,0.9852137,6,##IT,6,8
70,I-UN,0.9837871,7,##A,8,9
71,I-UN,0.9885797,8,##L,9,10
72,I-UN,0.9925938,9,GmbH,11,15
73,I-UN,0.6407603,3,Grundstücks,7,18
74,I-UN,0.88501763,4,##verwaltung,18,28
75,I-UN,0.94137347,5,A,29,30
76,I-UN,0.9830891,6,##HG,30,32
77,I-UN,0.97527516,7,-,32,33
78,I-UN,0.9652786,8,Beteiligungs,33,45
79,I-UN,0.9673109,9,-,45,46
80,I-UN,0.95695543,10,und,47,50
81,I-UN,0.96826035,11,Handels,51,58
82,I-UN,0.9762404,12,##gesellschaft,58,70
83,I-UN,0.98197997,13,mbH,71,74
84,I-UN,0.98078823,14,&,75,76
85,I-UN,0.97563994,15,Co,77,79
86,I-UN,0.9707234,16,.,79,80
87,I-UN,0.98396343,17,KG,81,83
88,B-UN,0.97779214,4,Wind,4,8
89,I-UN,0.90505564,5,##parks,8,13
90,I-UN,0.96703565,6,Westfalen,14,23
91,I-UN,0.9867763,7,IV,24,26
92,I-UN,0.99005437,8,GmbH,27,31
93,B-UN,0.92057335,1,Pall,0,4
94,I-UN,0.85583377,2,##etwa,4,8
95,I-UN,0.96024233,3,##ys,8,10
96,I-UN,0.9840544,4,Deutschland,11,22
97,I-UN,0.98676956,5,GmbH,23,27
98,B-UN,0.92426825,1,S,0,1
99,I-UN,0.89259547,2,-,1,2
100,I-UN,0.9589199,3,K,2,3
101,I-UN,0.96592903,4,##ON,3,5
102,I-UN,0.98009574,5,Sal,6,9
103,I-UN,0.9843902,6,##es,9,11
104,I-UN,0.98537725,7,Konto,12,17
105,I-UN,0.98838645,8,##r,17,18
106,I-UN,0.9878011,9,Hamburg,19,26
107,I-UN,0.992214,10,GmbH,27,31
108,B-UN,0.8554145,1,Elect,0,5
109,I-UN,0.8198504,2,##ron,5,8
110,I-UN,0.8362725,3,##ic,8,10
111,I-UN,0.83073395,4,##Part,10,14
112,I-UN,0.86892545,5,##ner,14,17
113,I-UN,0.8979692,6,Handel,18,24
114,I-UN,0.96134806,7,S,25,26
115,I-UN,0.95962995,8,##E,26,27
116,B-UN,0.87611055,1,Stadt,0,5
117,I-UN,0.936482,2,##kü,5,7
118,I-UN,0.9566493,3,##che,7,10
119,I-UN,0.98084277,4,GmbH,11,15
120,B-UN,0.8930318,1,S,0,1
121,B-UN,0.7262954,2,##I,1,2
122,B-UN,0.43581113,3,##EB,2,4
123,I-UN,0.7161925,4,##T,4,5
124,I-UN,0.8571441,5,##E,5,6
125,I-UN,0.74758214,6,P,7,8
126,I-UN,0.869016,7,##A,8,9
127,I-UN,0.9395375,8,##X,9,10
128,I-UN,0.9573195,9,##AS,10,12
129,I-UN,0.97989833,10,Treuhand,13,21
130,I-UN,0.96853983,11,-,21,22
131,I-UN,0.96233535,12,und,23,26
132,I-UN,0.961516,13,Beteiligungs,27,39
133,I-UN,0.9720283,14,##gesellschaft,39,51
134,I-UN,0.97283757,15,mbH,52,55
135,B-UN,0.89644474,1,"""",0,1
136,B-UN,0.7725327,2,ad,1,3
137,I-UN,0.96814626,3,f,4,5
138,I-UN,0.95939344,4,##onte,5,9
139,I-UN,0.97405756,5,##s,9,10
140,I-UN,0.9727965,6,"""",10,11
141,I-UN,0.9823137,7,Solar,12,17
142,I-UN,0.98382324,8,##technik,17,24
143,I-UN,0.9886276,9,GmbH,25,29
144,B-UN,0.9675624,1,Fer,0,3
145,I-UN,0.6573073,2,##ox,3,5
146,I-UN,0.9755387,3,Zweite,6,12
147,I-UN,0.989804,4,Holding,13,20
148,I-UN,0.9910978,5,GmbH,21,25
149,B-UN,0.71204174,1,Y,0,1
150,B-UN,0.5357475,2,##ü,1,2
151,I-UN,0.5214989,3,##ce,2,4
152,I-UN,0.689395,4,##bu,4,6
153,I-UN,0.8286061,5,##da,6,8
154,I-UN,0.928686,6,##k,8,9
155,I-UN,0.9638831,7,IT,10,12
156,I-UN,0.9547425,8,&,13,14
157,I-UN,0.9569218,9,Vertrieb,15,23
158,I-UN,0.9686915,10,U,24,25
159,I-UN,0.9658203,11,##G,25,26
160,I-MRK,0.5420784,4,##DC,14,16
161,I-MRK,0.6581473,5,##A,16,17
162,I-MRK,0.6006149,6,##PI,17,19
163,I-MRK,0.5714826,7,##TA,19,21
164,I-UN,0.429334,8,##L,21,22
165,I-UN,0.5872448,14,GmbH,42,46
166,B-UN,0.8115029,1,HC,0,2
167,I-UN,0.84880435,2,##G,2,3
168,I-UN,0.9479075,3,Hanse,4,9
169,I-UN,0.9620569,4,Con,10,13
170,I-UN,0.95488083,5,##ven,13,16
171,I-UN,0.9360166,6,##ien,16,19
172,I-UN,0.97173417,7,##ce,19,21
173,I-UN,0.98244596,8,GmbH,22,26
174,B-UN,0.9726819,1,FA,0,2
175,I-UN,0.97371155,2,##P,2,3
176,I-UN,0.98676956,3,Beteiligungs,4,16
177,I-UN,0.9866947,4,##gesellschaft,16,28
178,I-UN,0.98492223,5,mbH,29,32
179,B-UN,0.8120276,1,Com,0,3
180,I-UN,0.7167539,2,##fort,3,7
181,I-UN,0.66211325,3,Hamburg,8,15
182,I-UN,0.5272748,4,Gesellschaft,16,28
183,I-ORG,0.8534891,5,für,29,32
184,I-ORG,0.81361616,6,Geschäfts,33,42
185,I-ORG,0.8719169,7,##flächen,42,49
186,I-ORG,0.86209714,8,und,50,53
