node_id,label,property_name,property_value,optional,level
tech_transformer,Technology,type,Model,no,1
tech_transformer,Technology,canonical_name,transformer,yes,1
tech_transformer,Technology,aliases,"[Transformer, transformers]",yes,1
tech_transformer,Technology,first_described_in,arxiv:1706.03762,yes,1
tech_bert,Technology,type,Model,no,1
tech_bert,Technology,canonical_name,bert,yes,1
tech_bert,Technology,aliases,"[BERT, BERT-base, BERT-large]",yes,1
tech_gpt,Technology,type,Model,no,1
tech_gpt,Technology,canonical_name,gpt,yes,1
tech_gpt,Technology,aliases,"[GPT, GPT-2, GPT-3, GPT-4]",yes,1
tech_roberta,Technology,type,Model,no,1
tech_roberta,Technology,canonical_name,roberta,yes,1
tech_deberta,Technology,type,Model,no,1
node_problem_sota,Problem,domain,Machine Learning,no,1
node_problem_sota,Problem,canonical_name,achieving_state_of_the_art_performance,no,1
node_problem_few_shot,Problem,domain,Machine Learning,no,1
node_problem_few_shot,Problem,canonical_name,improving_few_shot_learning,no,1
node_problem_align,Problem,domain,Human-AI Interaction,no,1
node_problem_align,Problem,canonical_name,improving_human_ai_alignment,no,1
node_capability_accuracy,Capability,capability_type,functional,no,1
node_capability_accuracy,Capability,canonical_name,classification_accuracy,no,1
node_capability_accuracy,Capability,description,ability to correctly classify inputs,yes,1
node_capability_speed,Capability,capability_type,performance,no,1
node_capability_speed,Capability,canonical_name,inference_speed,no,1
node_capability_speed,Capability,description,ability to generate outputs quickly,yes,1
node_capability_robust,Capability,capability_type,robustness,no,1
node_capability_robust,Capability,canonical_name,robustness_to_adversarial_attacks,no,1
node_capability_robust,Capability,description,ability to resist adversarial perturbations,yes,1
node_metric_accuracy,Metric,direction,higher_better,no,1
node_metric_accuracy,Metric,canonical_name,accuracy,yes,1
node_metric_accuracy,Metric,unit,percentage,yes,1
node_metric_bleu,Metric,direction,higher_better,no,1
node_metric_bleu,Metric,canonical_name,bleu_score,yes,1
node_metric_bleu,Metric,unit,0-1,yes,1
node_metric_latency,Metric,direction,lower_better,no,1
node_metric_latency,Metric,canonical_name,latency,yes,1
node_metric_latency,Metric,unit,milliseconds,yes,1
node_metric_flops,Metric,direction,lower_better,no,1
node_metric_flops,Metric,canonical_name,flops,yes,1
node_metric_flops,Metric,unit,floating_point_operations,yes,1
node_dataset_imdb,Dataset,domain,NLP,no,1
node_dataset_imdb,Dataset,canonical_name,imdb,yes,1
node_dataset_imdb,Dataset,size,50000,yes,1
node_dataset_imdb,Dataset,contamination_risk,low,no,1
node_dataset_wiki,Dataset,domain,NLP,no,1
node_dataset_wiki,Dataset,canonical_name,wikipedia_2024,yes,1
node_dataset_wiki,Dataset,size,20000000,no,1
node_dataset_wiki,Dataset,contamination_risk,high,no,1
node_dataset_glm,Dataset,domain,NLP,no,1
node_dataset_glm,Dataset,canonical_name,glm_testset,yes,1
node_dataset_glm,Dataset,size,1000,yes,1
node_dataset_glm,Dataset,contamination_risk,unknown,no,1
node_asst_training_data,Assumption,type,data,no,1
node_asst_training_data,Assumption,statement,training data is representative of real-world distributions,no,1
node_asst_universe,Assumption,type,theoretical,no,1
node_asst_universe,Assumption,statement,the model universe includes all relevant classes,no,1
node_asst_independent,Assumption,type,data,no,1
node_asst_independent,Assumption,statement,samples in training and test sets are independent,no,1
node_lim_bias,Limitation,severity,moderate,no,1
node_lim_bias,Limitation,statement,bias in training data propagates to predictions,no,1
node_lim_compute,Limitation,severity,severe,no,1
node_lim_compute,Limitation,statement,training requires computationally expensive resources,no,1
node_lim_scale,Limitation,severity,minor,no,1
node_lim_scale,Limitation,statement,small improvements are not statistically significant at scale,no,1
node_claim_gpt_outperforms,Claim,claim_type,capability,no,2
node_claim_gpt_outperforms,Claim,polarity,positive,no,2
node_claim_gpt_outperforms,Claim,stated_confidence,0.95,no,2
node_claim_gpt_outperforms,Claim,prior_implausibility,0.3,yes,2
