source,target,weight
50,22,1
19,50,1
19,26,1
16,44,1
39,51,1
20,34,1
54,6,1
33,34,1
23,34,1
34,51,1
15,48,1
9,14,1
0,22,1
36,18,1
4,30,1
14,31,1
8,31,1
36,22,1
33,51,1
23,51,1
15,10,1
50,41,1
9,31,1
47,5,1
44,21,1
3,34,1
0,50,1
37,6,1
16,34,1
24,4,1
24,59,1
53,38,1
20,39,1
12,43,1
9,48,1
19,18,1
5,27,1
3,51,1
7,42,1
32,17,1
9,8,1
16,51,1
58,43,1
7,57,1
14,10,1
46,12,1
15,40,1
12,45,1
2,58,1
2,45,1
44,51,1
9,10,1
48,14,1
0,18,1
9,49,1
36,38,1
26,38,1
58,29,1
49,14,1
46,29,1
36,53,1
54,17,1
19,41,1
48,31,1
14,40,1
8,40,1
7,25,1
46,2,1
49,31,1
15,8,1
9,40,1
19,38,1
20,33,1
20,44,1
44,34,1
52,28,1
33,44,1
23,33,1
47,27,1
59,4,1
46,43,1
37,17,1
41,18,1
49,8,1
51,21,1
35,11,1
32,37,1
3,20,1
48,10,1
0,36,1
52,1,1
55,29,1
24,30,1
16,20,1
15,49,1
33,39,1
23,39,1
49,10,1
53,22,1
15,9,1
35,13,1
6,17,1
3,33,1
0,38,1
12,29,1
32,54,1
16,33,1
20,23,1
0,53,1
55,2,1
45,43,1
40,31,1
56,13,1
53,41,1
54,37,1
3,39,1
48,40,1
25,42,1
16,39,1
38,41,1
49,40,1
46,55,1
22,18,1
10,31,1
36,41,1
50,36,1
16,3,1
19,53,1
23,44,1
19,0,1
58,45,1
10,8,1
59,30,1
46,45,1
50,38,1
48,8,1
50,53,1
22,41,1
38,22,1
20,21,1
42,57,1
46,58,1
33,21,1
23,21,1
3,44,1
56,35,1
56,11,1
53,26,1
2,29,1
48,49,1
50,26,1
12,55,1
26,18,1
39,44,1
26,22,1
45,29,1
55,43,1
12,2,1
3,21,1
0,26,1
20,51,1
10,40,1
25,57,1
16,21,1
19,36,1
0,41,1
28,1,1
55,45,1
39,21,1
36,26,1
3,23,1
14,8,1
11,13,1
15,14,1
2,43,1
43,29,1
16,23,1
34,21,1
55,58,1
12,58,1
19,22,1
39,34,1
26,41,1
53,18,1
32,6,1
15,31,1
50,18,1
38,18,1
